#I-A    B-/mT   I+/A   B+/mT
10.0    739     -10.0   -702
9.5     729     -9.5    -692
9.0     717     -9.0    -684
8.5     709     -8.5    -674
8.0     699     -8.0    -665
7.5     687     -7.5    -654
7.0     676     -7.0    -643
6.5     664     -6.5    -631
6.0     651     -6.0    -618
5.5     636     -5.5    -604
5.0     621     -5.0    -589
4.5     603     -4.5    -571
4.0     583     -4.0    -550
3.5     559     -3.5    -529
3.0     535     -3.0    -507
2.5     508     -2.5    -476
2.0     473     -2.0    -447
1.5     414     -1.5    -382
1.0     341     -1.0    -310
0.5     254     -0.5    -202
0.0     143      0      -118
-0.5     23      0.5    -1
-1.0    -65      1.0    84
-1.5    -156     1.5    174
-2.0    -237     2.0    260
-2.5    -309     2.5    341
-3.0    -370     3.0    396
-3.5    -424     3.5    447
-4.0    -461     4.0    488
-4.5    -500     4.5    525
-5.0    -524     5.0    554
-5.5    -552     5.5    579
-6.0    -574     6.0    598
-6.5    -598     6.5    621
-7.0    -616     7.0    638
-7.5    -633     7.5    653
-8.0    -649     8.0    668
-8.5    -663     8.5    684
-9.0    -678     9.0    698
-9.5    -695     9.5    711
-10.0   -702    10.0    724
